MatrixSize,BlockSize,Time,GFLOPS,GPULoad
512,16,1.7e-06,157903.20941176472,22
512,32,1.7e-06,157903.20941176472,22
1024,16,1.7e-06,1263225.6752941178,22
1024,32,1.8e-06,1193046.4711111113,22
2048,16,2e-06,8589934.592,22
2048,32,1.6e-06,10737418.24,15
3072,16,1.8e-06,32212254.72,15
3072,32,1.6e-06,36238786.56,14
4096,16,1.7e-06,80846443.21882354,14
4096,32,1.7e-06,80846443.21882354,14
